M_ini      Z_ini  OmOc_ini  M        logL     logTe_c  logTe_nc      MBol        MV       U-B       B-V       V-R       V-I       J-K       H-K       V-K       G-V     Gbp-V     Grp-V     GFlag        BC    r_pol   oblat   g_pol    Omega_S      v_eq   v_crit1   v_crit2  Om/Om_cr lg(Md) lg(Md_M) Ga_Ed         H1        He4        C12        C13        N14        O16        O17        O18       Ne20       Ne22       Al26
Isochrone for log(time) = 6.00000
  4.722  0.000400  0.000    4.722    2.7673    4.3396    4.3396   -2.1683    0.2466   -0.8612   -0.2554   -0.1083   -0.3223   -0.1562   -0.0236   -0.6551   -0.0505   -0.2292    0.2768         1   -2.4148     1.69  1.0000   4.656  0.000E+00      0.00      0.00      0.00  0.0000   0.000   0.000   0.003  7.507E-01  2.489E-01  6.523E-05  7.916E-07  1.882E-05  1.634E-04  6.473E-08  3.686E-07  5.363E-05  4.337E-06  0.000E+00
  5.142  0.000400  0.000    5.142    2.8886    4.3584    4.3584   -2.4715    0.0107   -0.8881   -0.2629   -0.1119   -0.3310   -0.1612   -0.0247   -0.6776   -0.0523   -0.2346    0.2843         1   -2.4822     1.78  1.0000   4.647  0.000E+00      0.00      0.00      0.00  0.0000  -0.970   0.000   0.004  7.507E-01  2.489E-01  6.523E-05  7.916E-07  1.882E-05  1.634E-04  6.473E-08  3.686E-07  5.363E-05  4.337E-06  0.000E+00
  5.599  0.000400  0.000    5.599    3.0066    4.3764    4.3764   -2.7664   -0.2076   -0.9151   -0.2705   -0.1153   -0.3397   -0.1664   -0.0261   -0.7018   -0.0541   -0.2400    0.2916         1   -2.5588     1.88  1.0000   4.638  0.000E+00      0.00      0.00      0.00  0.0000  -3.921   0.000   0.005  7.507E-01  2.489E-01  6.523E-05  7.916E-07  1.882E-05  1.634E-04  6.473E-08  3.686E-07  5.363E-05  4.337E-06  0.000E+00
  6.096  0.000400  0.000    6.096    3.1245    4.3943    4.3943   -3.0612   -0.4409   -0.9402   -0.2763   -0.1182   -0.3468   -0.1710   -0.0270   -0.7221   -0.0556   -0.2445    0.2976         1   -2.6203     1.98  1.0000   4.629  0.000E+00      0.00      0.00      0.00  0.0000  -6.873   0.000   0.006  7.507E-01  2.489E-01  6.523E-05  7.916E-07  1.882E-05  1.634E-04  6.473E-08  3.686E-07  5.363E-05  4.337E-06  0.000E+00
  6.638  0.000400  0.000    6.638    3.2424    4.4122    4.4122   -3.3561   -0.6732   -0.9657   -0.2816   -0.1208   -0.3534   -0.1757   -0.0279   -0.7427   -0.0570   -0.2487    0.3032         1   -2.6828     2.09  1.0000   4.619  0.000E+00      0.00      0.00      0.00  0.0000  -9.824   0.000   0.007  7.507E-01  2.489E-01  6.523E-05  7.916E-07  1.882E-05  1.634E-04  6.473E-08  3.686E-07  5.363E-05  4.337E-06  0.000E+00
  7.228  0.000400  0.000    7.228    3.3597    4.4296    4.4296   -3.6493   -0.9052   -0.9909   -0.2862   -0.1232   -0.3594   -0.1803   -0.0287   -0.7629   -0.0584   -0.2525    0.3083         1   -2.7441     2.21  1.0000   4.609  0.000E+00      0.00      0.00      0.00  0.0000 -11.490   0.000   0.009  7.507E-01  2.489E-01  6.523E-05  7.916E-07  1.882E-05  1.634E-04  6.473E-08  3.686E-07  5.363E-05  4.337E-06  0.000E+00
  7.870  0.000400  0.000    7.870    3.4750    4.4462    4.4462   -3.9374   -1.1345   -1.0156   -0.2901   -0.1253   -0.3647   -0.1849   -0.0294   -0.7825   -0.0596   -0.2559    0.3128         1   -2.8029     2.34  1.0000   4.597  0.000E+00      0.00      0.00      0.00  0.0000 -11.034   0.000   0.011  7.507E-01  2.489E-01  6.523E-05  7.916E-07  1.882E-05  1.634E-04  6.473E-08  3.686E-07  5.363E-05  4.337E-06  0.000E+00
  8.570  0.000400  0.000    8.570    3.5902    4.4628    4.4628   -4.2255   -1.3620   -1.0405   -0.2935   -0.1272   -0.3697   -0.1895   -0.0301   -0.8022   -0.0607   -0.2590    0.3170         1   -2.8635     2.47  1.0000   4.585  0.000E+00      0.00      0.00      0.00  0.0000 -10.579   0.000   0.012  7.507E-01  2.489E-01  6.523E-05  7.916E-07  1.882E-05  1.634E-04  6.473E-08  3.686E-07  5.363E-05  4.337E-06  0.000E+00
  9.331  0.000400  0.000    9.331    3.7035    4.4789    4.4789   -4.5087   -1.5716   -1.0616   -0.2976   -0.1293   -0.3755   -0.1938   -0.0308   -0.8203   -0.0621   -0.2628    0.3220         1   -2.9372     2.61  1.0000   4.573  0.000E+00      0.00      0.00      0.00  0.0000 -10.181   0.000   0.015  7.507E-01  2.489E-01  6.523E-05  7.916E-07  1.882E-05  1.634E-04  6.473E-08  3.686E-07  5.363E-05  4.337E-06  0.000E+00
 10.161  0.000400  0.000   10.160    3.8143    4.4946    4.4946   -4.7858   -1.7708   -1.0806   -0.3016   -0.1313   -0.3814   -0.1978   -0.0315   -0.8374   -0.0635   -0.2666    0.3270         1   -3.0151     2.76  1.0000   4.562  0.000E+00      0.00      0.00      0.00  0.0000  -9.860   0.000   0.018  7.507E-01  2.489E-01  6.523E-05  7.916E-07  1.882E-05  1.634E-04  6.473E-08  3.686E-07  5.363E-05  4.337E-06  0.000E+00
